City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
438,Havre-Saint-Pierre,CA,59.36,50.2334,-63.5986,Auberge Niapiskau
439,Tadine,NC,68.9,-21.55,167.8833,
440,Trofors,NO,58.87,65.5333,13.4063,Utpå Neset AS
441,Fuerte Olimpo,PY,60.01,-21.0415,-57.8738,Hospedaje DAMI
443,Kurchum,KZ,81.93,48.5722,83.6542,"""Kneda"" Hotel"
444,Magistralnyy,RU,63.72,56.1725,107.4458,Магистраль
445,Miquelon,PM,62.6,47.0975,-56.3814,Island Inn
446,Lusambo,CD,77.38,-4.9667,23.45,
447,Vila,PT,58.08,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
448,Hashtrud,IR,77.38,37.4779,47.0508,Hashtrud Farhangian Club
449,Makubetsu,JP,70.23,45.3714,141.8211,RED BARON Bike Station Wakkanai
450,Tessalit,ML,84.81,20.1986,1.0114,
452,Tabora,TZ,71.78,-5.0167,32.8,Barcelona Lodge
454,Gunjur,GM,75.27,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
455,Cockburn Town,TC,81.75,21.4612,-71.1419,Osprey Beach Hotel
456,Asuncion,PY,51.24,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
457,Kapoeta,SS,73.15,4.7717,33.5903,Eastgate Hotel
459,Buy,RU,61.63,58.4786,41.53,Hotel Variant C
460,Arinos,BR,64.67,-15.9169,-46.1056,casa do bruno
461,Sembe,CG,70.09,1.6481,14.5806,
462,Salinopolis,BR,78.19,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
463,Samarai,PG,80.65,-10.6167,150.6667,Nuli Sapi
464,Townsville,AU,74.28,-19.25,146.8,Rydges Southbank Townsville
465,Great Malvern,GB,66.7,52.1116,-2.3252,The Abbey Hotel
466,Aykhal,RU,69.3,66.0,111.5,
468,Gimli,CA,66.02,50.6336,-96.9907,Lakeview Gimli Resort
469,College,US,68.2,64.8569,-147.8028,Pike's Waterfront Lodge
470,Bowen,AU,69.73,-20.0167,148.2333,Castle Motor Lodge Motel
472,Saint-Georges,GD,79.86,12.0564,-61.7485,Radisson Grenada Beach Resort
473,Mananjary,MG,69.98,-21.2167,48.3333,Vahiny Lodge
474,Banjar,ID,84.88,-8.19,114.9675,The Hamsa Resort
476,Beringovskiy,RU,51.12,63.05,179.3167,
477,Surt,LY,81.41,31.2089,16.5887,الهادي ابوشعاله سرت
478,Yabelo,ET,61.72,4.8833,38.0833,Asnakech W/michael
479,Laguna,US,76.44,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
481,Valkeakoski,FI,63.09,61.2642,24.0312,Hotel Waltikka
482,Kilindoni,TZ,75.83,-7.9139,39.6668,Bustani B&B
483,Mozelos,PT,67.62,41.8677,-8.3978,Casa do Rio Vez - Alojamento de Charme
484,Suarez,CO,66.34,2.954,-76.6964,Hotel Estrella Dorada
485,Ust-Nera,RU,70.05,64.5667,143.2,Hotel Ust-Nera
486,Nogliki,RU,57.92,51.8333,143.1667,"Hotel ""Nogliki"""
487,Charters Towers,AU,70.02,-20.1,146.2667,Cattleman's Rest Motor Inn
491,Barreirinhas,BR,75.7,-2.7469,-42.8264,Gran Lençóis Flat Residence
492,Marijampole,LT,54.3,54.5667,23.35,Mercure Marijampole
495,Sabzevar,IR,84.56,36.2126,57.6819,پزشکی قانونی سبزوار
496,Carutapera,BR,75.07,-1.195,-46.02,Lidera
497,Ulaangom,MN,76.15,49.9811,92.0667,Achit Nuur Hotel & Restaurant
499,Marawi,PH,77.04,7.9986,124.2928,Derogongan Residence
501,Tilichiki,RU,53.56,60.4667,166.1,
502,Nioro,GM,73.27,13.35,-15.75,
503,Broken Hill,AU,61.77,-31.95,141.4333,Royal Exchange Hotel
505,Izberbash,RU,82.45,42.5696,47.8645,Ramina
506,Atambua,ID,82.06,-9.1061,124.8925,Kost Alfa Flat
507,Porto Novo,BJ,75.02,6.4965,2.6036,Tour Eiffel Hotel Benin
508,Sandovo,RU,59.36,58.4602,36.4128,
